"Council","InstitutionID","InstitutionName","CollectionAlias","Pageviews"
"Rochester Regional Library Council","RRLC001","Appellate Division Fourth Department Law Library","VRT",59
"Rochester Regional Library Council","RRLC003","Finger Lakes Community College","p15109coll2",0
"Rochester Regional Library Council","RRLC004","Geneva Historical Society","p15109coll6",809
"Rochester Regional Library Council","RRLC005","Geneva Public Library","JSY",1606
"Rochester Regional Library Council","RRLC006","Henrietta Public Library","p15109coll1",13
"Rochester Regional Library Council","RRLC007","University of Rochester Medical Center - Highland Hospital","p277601coll8",65
"Rochester Regional Library Council","RRLC008","Hobart and William Smith Colleges","p277601coll11",83
"Rochester Regional Library Council","RRLC009","Macedon Public Library","p16694coll71",2
"Rochester Regional Library Council","RRLC010","University of Rochester - Memorial Art Gallery","p277601coll5",802
"Rochester Regional Library Council","RRLC011","Mendon Public Library","p16694coll43",1166
"Rochester Regional Library Council","RRLC012","Naples Library","p16694coll74",98
"Rochester Regional Library Council","RRLC013","Nazareth College","p277601coll7",2101
"Rochester Regional Library Council","RRLC014","Newark Public Library","p15109coll4",10
"Rochester Regional Library Council","RRLC015","Perry Public Library","p16694coll75",499
"Rochester Regional Library Council","RRLC016","Rochester Civic Garden Center","p16694coll40",3
"Rochester Regional Library Council","RRLC017","Rochester Genealogical Society","p16694coll54",259
"Rochester Regional Library Council","RRLC018","RIT Libraries, Cary Graphic Arts Collection","p16694coll34",0
"Rochester Regional Library Council","RRLC019","Rochester Regional Health - Rochester Medical Museum & Archvies","p277601coll2",35
"Rochester Regional Library Council","RRLC020","Rochester Museum & Science Center","p15109coll11",288
"Rochester Regional Library Council","RRLC021","Rochester Public Library","p16694coll15",1127
"Rochester Regional Library Council","RRLC023","Sonneberg Gardens and Mansion State Historic Park","p16694coll21",116
"Rochester Regional Library Council","RRLC024","St. John Fisher College","p15109coll7",1283
"Rochester Regional Library Council","RRLC025","The Strong National Museum of Play","p16694coll44",215
"Rochester Regional Library Council","RRLC026","SUNY College at Brockport","p277601coll4",78
"Rochester Regional Library Council","RRLC027","SUNY Geneseo","p277601coll3",306
"Rochester Regional Library Council","RRLC028","Town of Henrietta","townofhen",2
"Rochester Regional Library Council","RRLC029","University of Rochester Medical Center - Eastman Institute for Oral Health","p277601coll6",23
"Rochester Regional Library Council","RRLC030","Walworth Historical Society","p16694coll32",14
"Rochester Regional Library Council","RRLC031","University of Rochester - River Campus Libraries","p16694coll84",79
"Rochester Regional Library Council","RRLC032","University of Rochester Medical Center - Edward G. Miner Library","p16694coll108",141
"Rochester Regional Library Council","RRLC033","Ogden Farmers' Library","p16694coll119",117
"Northern New York Library Network","NNYLN001","Adirondack Architectural Heritage","p16694coll9",41
"Northern New York Library Network","NNYLN002","Adirondack Experience","p16694coll65",1438
"Northern New York Library Network","NNYLN003","Antique Boat Museum","p16694coll49",385
"Northern New York Library Network","NNYLN004","Clarkson University - Harriet Call Burnap Memorial Library","clarkson",19250
"Northern New York Library Network","NNYLN005","Clinton Community College - Douglas Library","p16694coll31",76
"Northern New York Library Network","NNYLN006","Colton Museum and Historical Society","p16694coll16",129
"Northern New York Library Network","NNYLN007","Adirondack History Center Museum - Essex County Historical Society","adkhistory",74
"Northern New York Library Network","NNYLN009","Jefferson Community College - Jefferson Community College Library","jcclibrary",1383
"Northern New York Library Network","NNYLN010","Keene Valley Library","keenev",165
"Northern New York Library Network","NNYLN011","Lake Placid-North Elba Historical Society","p16694coll73",239
"Northern New York Library Network","NNYLN012","Lake Placid Olympic Museum","p16694coll39",3
"Northern New York Library Network","NNYLN013","Miner Institute","miner",9
"Northern New York Library Network","NNYLN014","North Country Community College - North Country Community College Libraries","p16694coll50",716
"Northern New York Library Network","NNYLN016","Ogdensburg Public Library","ogdensburg",5
